D,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
38154,1.07311575,2.1908736,-1.057840012,-1.197171692,-2.348558846,1.282957934,-3.131033854,-1.367301033,1.174939644,-3.398929469
38155,-2.726827803,1.535058605,-1.370034293,3.802027704,-3.732349747,3.33136839,0.837573402,-0.691668031,0.478276025,5.159938728
38156,-2.108327861,-3.401943391,1.276546113,2.8181308,0.702283694,-0.687094189,-0.534213697,-3.343525953,-1.441892756,0.349871165
38159,1.102948789,-0.828964422,-3.317674779,3.696468675,-0.334128947,0.409003385,-0.095491406,-1.695246812,-0.500148936,-1.507119145
38160,-2.442976339,0.964387957,-0.026146116,0.648143795,-0.56921247,2.207426196,1.979916641,0.683133428,-1.81096562,-1.475014512
38161,1.380914309,2.712674699,-0.213367067,-3.547522649,-2.301543455,1.061842194,1.553032596,1.972789638,3.476760005,2.965059216
38162,-0.083027063,-0.939874915,-0.045227732,0.032646726,-1.259566643,0.861832106,-4.896085987,2.186790134,1.320471172,2.85539851
38163,1.945659798,6.292721704,1.702470137,-1.896702201,-2.828217731,-0.413851945,1.210906032,-2.309318508,-3.556767428,-2.06203253
38166,-0.362658205,-3.315013708,0.089744157,2.566517002,-2.436770897,-0.655850754,-1.864167353,1.249347514,2.507300372,-0.269454399
38167,2.708522078,1.70699019,1.842535814,-4.093874621,-0.152289553,0.005204148,-3.440822955,-2.773673745,2.836549844,-1.911339776
38168,2.702671161,-1.857286518,3.116274295,-2.278023473,2.195987938,1.638943818,-1.746665041,-0.952439663,2.760017088,-2.291395861
38169,2.200704889,-0.750772659,-0.46520678,2.090967086,-3.337335626,-2.729556667,0.772681523,-0.081892676,0.317398439,-1.528097464
38170,-4.205227094,-1.141410987,-1.456729088,4.446878731,-0.265671759,0.108941003,1.915441345,3.454500187,2.302761261,3.442943039
38174,-1.135934276,-4.211729277,1.555563234,1.242818358,2.265342847,-0.392028688,4.913946517,1.523243008,-0.771309866,-0.276767024
38175,-0.353556944,-1.912838258,2.513385243,3.667884245,3.667674392,0.32834298,0.810693763,-1.105244872,0.699852277,0.835644894
38176,-1.497489393,2.875997987,3.496387786,-0.033931821,1.772613371,-1.539643402,-0.268328187,-0.961850417,0.168003711,-0.663541699
38177,0.397262446,1.884070268,1.376210504,-2.561543256,-0.677344782,-1.097993973,-0.458796659,-1.45679195,-3.484661844,1.159328053
38180,-0.8584718,-0.107905381,-1.337751158,-2.226171447,-1.976117868,2.91349067,0.444068924,0.963328722,-3.031411555,-5.994285183
38181,0.540136764,1.713989987,2.862971968,-0.084950908,-0.028933024,2.234146058,0.142783791,1.382449236,0.754943877,1.312167645
