D,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
38154,-0.300133113,-0.14287776,3.463414718,-0.147709541,0.269441554,-0.057560055,-0.981811222,-0.825071068,-0.821391752,-1.687392882
38155,0.144156015,-0.381798744,-1.867242044,3.236798028,-1.33454841,2.049531447,-2.766534871,1.438406924,-1.510660101,1.040218108
38156,-1.071469301,-0.711504194,-2.488922951,0.486309931,-3.16616422,0.166263981,-2.51536087,-0.253326004,-0.110794332,0.726666616
38159,0.252454904,1.826808308,-0.149596468,1.676959147,-0.621497357,-2.029632947,-0.278689559,1.84134899,3.560570503,-0.527500366
38160,1.88416188,-1.659414312,-1.555046308,-2.041261033,1.914359262,-1.922572805,-3.591388363,0.24687815,2.578740849,-3.18213307
38161,0.54066113,-1.074348979,-3.10899866,1.759574155,3.761106363,-0.187642038,0.37066824,-1.829191617,2.446154114,4.344399925
38162,-1.387617537,-1.938854912,-1.315429889,-0.511016724,-0.600083397,-1.816141065,-1.690421044,-2.067986007,0.940139,-0.919608945
38163,-0.074991045,1.295883227,2.49404084,-2.538727795,-5.497627628,0.808248355,0.365022,-0.735297913,1.036245626,0.389751976
38166,1.284048855,2.709587709,1.680024099,-1.312344852,-0.172737541,-0.561808743,-2.095196932,-1.407180203,0.451162052,0.927162948
38167,-3.843681376,0.797780293,-2.352027973,0.960913609,1.357828659,-1.696709285,-1.852615305,-1.3321232,3.165786862,0.963620334
38168,-0.46018493,-5.718053629,-0.864329518,1.860274007,-4.930864071,-4.979599615,-2.103085496,-2.509192828,4.505176642,-0.906312241
38169,-0.622465975,-3.204666684,2.038598586,2.099938115,1.026591176,-1.871105442,0.042926174,-1.230488835,0.004758358,0.123105775
38170,3.159748804,1.961877489,-4.091668408,-2.266536722,0.577745152,1.320197452,-1.55598799,0.609547918,-2.716262855,-2.575465636
38174,0.351534467,3.98053253,2.717082045,-3.054093492,0.035348543,0.224768771,-0.225924976,-3.912453651,-0.029889054,0.272995184
38175,0.50243133,-0.360527183,-1.584783703,-1.359887071,2.579481475,-2.246453392,-0.399642177,0.13211226,0.605347907,-1.774518901
38176,-2.546591329,1.032885801,0.90882869,5.718235004,0.859567902,-0.336439456,-1.277880992,0.962856241,1.42316578,-2.419854167
38177,-1.213752925,-0.592919912,-1.908047755,2.679989091,-1.178883325,-0.449146788,1.937647186,2.624924399,-3.938876551,1.070889902
38180,2.178779992,1.169376543,-1.563099749,-2.809608914,-2.925903192,0.67366368,1.170684405,-3.344430248,-2.090794196,0.003253486
38181,-0.370332746,-1.179578786,3.336501558,-0.234227314,-1.239022677,0.155296997,0.155730811,1.400945642,-0.82486702,-0.603055581
38182,1.083167851,-1.747770208,1.115771096,-0.007788816,1.509616131,-3.735179714,-2.401909992,-0.054285978,1.893089853,-1.157606865
38183,-0.271194397,3.821703536,2.496154639,-1.553153425,0.615098346,-1.013270145,2.75444483,-2.424462707,-3.987674845,1.286671978
38184,-1.538633093,-2.806381555,1.874598863,-0.150809185,0.684118287,2.538497578,-0.986648363,0.087249305,-1.727590694,-0.914243984
38187,0.6165299,1.437886837,2.680762768,2.21976873,1.217462347,3.229443713,-0.894300476,-0.683252186,1.404206913,-0.665062269
38188,4.341104944,-3.413228527,1.701549875,-3.116614731,-2.125792132,-0.96351152,-2.370516669,0.25973067,1.54912361,0.421190952
