D,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
38154,0.244547358,0.131856944,-0.481750012,-0.20686542,0.004347157,-0.013439767,-0.008243645,0.015016205,2.97E-02,-0.159930843
38155,0.199326586,-0.548589243,0.208524823,0.700035449,0.00886089,0.003330158,0.011998424,0.011816513,-0.05040445,0.00304721
38156,-0.55975355,-1.696898,0.738779293,-0.925623105,-0.004776066,0.004388095,-0.008761908,0.005186954,-0.012641537,0.006625477
38159,0.437528341,-0.210858656,3.500197105,0.327124275,-0.00403821,0.002305525,0.004495317,0.003925497,0.00312039,-0.004449587
38160,2.513853155,-0.857134613,-0.194669012,0.688593034,0.003972154,-0.002761942,0.009774794,0.005213374,-0.006918474,-0.003362495
38161,-0.330379468,-0.122219261,-0.796214233,0.263554458,-0.525244614,-0.002435827,0.029365353,0.011183802,-0.012598423,0.01367993
38162,1.594086179,0.212188869,3.270746153,0.270441621,0.006470782,-0.006592344,0.003396209,-0.001949635,-0.060657628,-0.004008375
38163,0.494565045,-0.678301164,0.299087357,-3.61703404,-0.004405276,-0.004084863,0.717494871,0.004461032,-0.015507419,-0.011616386
38166,-3.632750202,2.158899982,-0.961353317,-0.199518336,0.022334971,0.008233243,0.002530434,-0.024802438,-0.001671143,-0.019546963
38167,-0.434882405,1.036619247,-0.796882993,-0.252509858,-0.045426231,0.003366942,0.018367988,-0.002123128,0.005079779,0.00634024
38168,0.937060359,-0.207997071,-2.922894893,-5.957800871,0.002255269,-0.027425793,0.820309912,0.008788298,-0.011008863,0.006774443
38169,0.967584363,-0.490888042,0.244683065,0.425748009,-0.012323344,-0.004011486,-0.003373978,0.046814901,-0.009799808,-0.007526025
38170,0.165556666,0.479179699,0.16668144,-1.516220706,0.007805485,0.045149762,0.00639746,-0.016236316,-0.005850809,-0.00700848
38174,4.303156649,-1.14191139,-0.370194409,-0.357507786,0.002712341,0.003586967,-0.004325994,-0.006425213,-0.016640828,13.83530415
38175,-1.428515946,0.787871668,-0.30289219,0.942929493,-0.043512113,0.003941436,0.004664935,-0.019738723,0.007067129,0.00288783
38176,-0.165855605,0.257453866,-0.308252357,-0.429798554,-0.00318586,0.004767945,0.067860589,-0.006063959,0.006027633,-0.006472432
38177,1.9574057,1.927222816,-0.192882065,0.164813694,-0.005850273,-0.002641646,0.004758013,0.012744492,0.003025153,-0.004148669
38180,0.988396132,0.12242768,0.27936816,-0.179592428,-0.002908937,0.026578838,0.006558074,-0.019542522,0.002710089,-0.026622904
38181,0.469690771,-0.586548409,-2.036666025,-0.761925391,-0.003656386,0.005557403,0.006619716,-0.003399502,-0.025877517,-0.002702386
38182,-0.762307362,7.971890873,1.253689189,0.23249353,-0.017522658,0.011939163,0.008554217,0.003362462,0.014471535,0.006988869
