D,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
38154,1.487468236,2.766689313,-0.754099151,-1.760828362,1.093259514,-0.408850727,-0.749194371,0.424134775,2.28E-01,-0.040305018
38155,1.827425564,-0.663984034,1.736522128,0.519644084,0.549408892,1.653889165,0.513402912,0.538982593,-0.134133503,2.11327398
38156,-0.649874002,-0.215704349,0.491422408,-0.394030409,-1.008536646,1.244896783,-0.703412926,1.227867957,-0.534818312,0.971943453
38159,0.833600059,-1.734324344,0.103706976,1.110302626,-1.214300151,2.40564419,1.366746413,1.622442789,2.166692264,-1.451565783
38160,0.144482163,-0.425526265,-1.855978053,0.52938037,1.157641103,-1.95109694,0.614086695,1.221645398,-0.977227795,-1.889319364
38161,-1.103360438,-3.010834804,-0.456744476,1.394886419,-0.008552754,-2.083032444,0.195546363,0.569474882,-0.536648556,0.449591885
38162,0.230620238,1.736006152,0.111994209,1.355312005,0.735459376,-0.780877792,1.726747519,-3.266710938,-0.111460432,-1.553623539
38163,0.741121476,-0.54288907,1.218617234,-0.100782591,-1.108013473,-1.276736939,0.008222697,1.427672799,-0.435980048,-0.543842164
38166,-0.100346581,0.170067806,-0.378249182,-1.825331068,0.231201634,0.638907757,2.344213424,-0.256785021,-4.04568989,-0.326811621
38167,-0.837437923,0.352843903,-0.456393426,-1.445895342,-0.109431921,1.525111372,0.320497245,-2.999769298,1.33094885,1.004012616
38168,0.389625731,-1.767716956,-0.124627738,-0.061531736,2.043201202,-0.180201148,0.007105911,0.724701733,-0.614134784,0.936340837
38169,0.378875315,-0.746797231,1.474889415,0.852076615,-0.396346856,-1.255232388,-1.740982547,0.136044176,-0.689903879,-0.855642708
38170,2.191213028,0.757225409,2.165476429,-0.238504832,0.620814531,0.110742554,0.917680207,-0.392262296,-1.155553997,-0.918828091
38174,0.084037369,-0.316684786,-0.966290378,-1.003276908,1.925172077,1.453061125,-1.390529881,-0.991234728,-0.406285411,0.000468233
38175,-0.251085266,0.457763307,-1.182812872,0.381110722,-0.11675678,1.27754115,1.27021062,-0.322659919,0.956672129,2.224342059
38176,-2.166707234,1.396811015,-1.155781894,-0.8292206,-1.633987729,1.074280074,0.089117379,-1.050286614,1.121655049,-1.000883255
38177,0.182076621,0.186005296,-1.847749892,2.169642295,-0.866744916,-1.914654603,1.285208468,0.499737027,2.234903778,-1.571569964
38180,0.361784865,2.929461484,1.272967566,-1.993857004,-1.65256145,0.18243731,0.932444217,-0.325899319,2.494724147,-0.245743903
38181,0.76237738,-0.611557751,-0.175602969,-0.470302578,-1.270798584,0.82742406,0.912111285,-1.873478884,-0.261266386,-2.413842854
38182,-0.470066922,0.045129649,0.283951163,1.536198319,-0.252335797,0.504377983,0.705841049,1.894116576,0.45297683,0.93336075
38183,-1.330168111,0.410652803,2.059616714,-0.65093844,-1.368973707,0.735709288,1.5264123,-3.503111385,1.388029317,-0.292897023
38184,1.865161087,1.612095555,-2.138115661,2.270277371,0.115427169,-1.205904474,-1.375894431,0.093018774,0.752066304,-1.364249817
38187,-0.576662158,-0.499648224,0.06499801,-0.096623999,-0.273960921,0.122964536,-1.139563668,0.544514225,-1.608297096,1.669424687
38188,2.182489958,-0.184315093,2.413986849,0.339706809,0.46819273,0.473329544,-1.53112723,-0.735575264,-1.021917224,-0.055114422
38189,0.240057014,-0.588093092,0.447417358,1.942904723,-1.09987633,-0.414141694,0.986114847,-1.308798271,-0.359210899,0.074253916
38190,-2.043903442,-0.020254052,-0.310635616,0.223986289,0.275566592,0.836569617,0.302215661,0.756358623,0.847905606,1.269059621
38191,-0.242117198,-0.044302783,-0.034629196,-0.431443306,-1.481520332,1.725058984,-0.518169638,-1.196380176,-2.157949955,-1.161966679
38194,3.010558044,0.843548095,1.649713845,0.185111342,0.500958489,-0.242300976,0.87240543,0.488645409,0.013466505,-0.268872764
38195,-1.034429213,1.572216228,0.907032762,0.562739503,-1.03949416,-1.244445212,0.152792141,0.506195215,0.048285068,0.413845166
38196,-1.521396023,-0.985814037,0.60714918,1.57425583,0.293011569,2.085674985,1.37490495,0.598619983,1.393891977,-1.132590751
38197,-1.04269929,0.720376552,-1.696917664,1.68213897,-1.27018195,0.881006861,0.469251743,-0.154750405,0.755418921,-1.078716128
38198,2.308147721,-0.874782237,0.617080778,-2.09805805,-2.139574951,0.947575919,0.936510012,1.315527001,1.348920556,-2.073286727
38201,-1.910532493,1.220011276,-0.659715225,-1.615399724,0.98110019,-0.465967907,1.264074559,1.646825953,0.127741308,0.739414838
38202,-1.719029412,0.411164633,2.289697586,0.453441616,-0.971160763,-0.307267925,0.959837476,-0.082899525,0.67664543,-1.027194047
38203,-1.420941984,1.170608368,-0.752829685,0.809205064,0.532229649,0.150860219,1.060300737,0.928330436,-0.42714258,-1.737523173
38204,0.329212125,-0.296324506,1.011201299,-0.76302171,-1.132975219,-1.376932353,0.593962242,-0.342799341,-1.487411376,1.172357212
38205,1.0476082,0.364019968,0.106240016,1.948086522,-1.862112624,0.796919735,1.188798182,0.979677592,-0.654405406,0.994906732
38208,0.314571581,-0.055747293,1.542416243,-1.03647157,-1.253819824,-0.633697266,-0.853096084,1.126357781,-0.388226134,1.71464683
38209,-0.13646271,-1.465972573,0.846887859,-0.934903884,0.879304051,-0.843476616,0.338723159,0.350003224,0.852361518,9.77E-01
38210,-0.800131962,1.099183828,-0.018253426,-0.395282154,0.688864269,-0.635435576,-1.564201147,-0.700907647,0.78021758,-0.537029042
38211,-0.189693795,1.17814233,1.375235115,3.006625712,-0.469226172,-1.253279238,-0.04581724,1.020487618,2.518042492,1.046988168
38212,-0.980676954,-0.759091279,-0.063006725,-1.193332082,-1.479539869,-1.758157943,1.08973844,2.008542295,0.684270554,0.269264599
38215,1.301854651,1.093429486,1.66606035,1.226078303,0.9601437,-0.80931976,0.013640124,-1.65598649,0.456923609,-0.217133085
38216,-1.053867652,-0.376842969,0.815043814,-1.85747537,0.908057782,1.097778857,-1.219413238,-1.582629438,1.775700011,1.437870499
38217,-0.804892709,-2.845611061,0.994147691,1.596209232,0.189064758,-0.395988045,-1.504998428,-1.612477601,-1.309683772,0.409897805
38218,3.645139299,-0.304456185,1.453878461,1.09306757,-0.717976514,0.395429681,-0.472855525,1.500804771,1.671074519,2.18330291
